"order_line","order_id","order_date","ship_date","ship_mode","customer_id","product_id","sales","quantity","discount","profit"
1896,"CA-2015-109197","2015-12-31","2016-01-04","Standard Class","JO-15280","OFF-BI-10004632","487.984",2,"0.2","152.495"
2323,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10001072","60.64",4,"0","27.8944"
2323,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10001072","60.64",4,"0","27.8944"
2322,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10004492","94.74",3,"0","44.5278"
7356,"CA-2015-139780","2015-12-31","2016-01-02","Second Class","AH-10690","OFF-BI-10004139","116.4",8,"0","52.38"
2324,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10003707","76.3",5,"0","38.15"
2324,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10003707","76.3",5,"0","38.15"
2138,"CA-2015-156377","2015-12-31","2016-01-05","Standard Class","TB-21625","OFF-BI-10002954","3.656",4,"0.8","-5.8496"
2137,"CA-2015-156377","2015-12-31","2016-01-05","Standard Class","TB-21625","FUR-FU-10002364","14.76",5,"0.6","-11.439"
2325,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10000977","364.8",12,"0","167.808"
6073,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-FA-10001561","3.488",2,"0.2","0.5668"
2325,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10000977","364.8",12,"0","167.808"
1896,"CA-2015-109197","2015-12-31","2016-01-04","Standard Class","JO-15280","OFF-BI-10004632","487.984",2,"0.2","152.495"
2138,"CA-2015-156377","2015-12-31","2016-01-05","Standard Class","TB-21625","OFF-BI-10002954","3.656",4,"0.8","-5.8496"
6072,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-ST-10000025","152.688",2,"0.2","-26.7204"
7356,"CA-2015-139780","2015-12-31","2016-01-02","Second Class","AH-10690","OFF-BI-10004139","116.4",8,"0","52.38"
2137,"CA-2015-156377","2015-12-31","2016-01-05","Standard Class","TB-21625","FUR-FU-10002364","14.76",5,"0.6","-11.439"
6074,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-SU-10001225","5.888",2,"0.2","-1.3248"
6072,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-ST-10000025","152.688",2,"0.2","-26.7204"
6074,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-SU-10001225","5.888",2,"0.2","-1.3248"
6073,"CA-2015-120901","2015-12-31","2016-01-04","Standard Class","BG-11035","OFF-FA-10001561","3.488",2,"0.2","0.5668"
2322,"CA-2015-109470","2015-12-31","2016-01-03","Second Class","KC-16255","OFF-BI-10004492","94.74",3,"0","44.5278"
6012,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-EN-10003296","271.44",3,"0","122.148"
6011,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","TEC-MA-10004002","2548.56",6,"0.2","286.713"
6013,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","TEC-PH-10004345","287.88",3,"0.2","35.985"
6013,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","TEC-PH-10004345","287.88",3,"0.2","35.985"
6012,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-EN-10003296","271.44",3,"0","122.148"
6011,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","TEC-MA-10004002","2548.56",6,"0.2","286.713"
6009,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-PA-10000595","68.52",3,"0","31.5192"
6010,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-ST-10000798","74.94",3,"0","14.2386"
6009,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-PA-10000595","68.52",3,"0","31.5192"
6010,"CA-2015-135580","2015-12-30","2016-01-03","Standard Class","CL-12565","OFF-ST-10000798","74.94",3,"0","14.2386"
9876,"CA-2015-130855","2015-12-29","2016-01-05","Standard Class","RF-19840","OFF-SU-10003936","6.36",2,"0","0.0636"
9876,"CA-2015-130855","2015-12-29","2016-01-05","Standard Class","RF-19840","OFF-SU-10003936","6.36",2,"0","0.0636"
162,"CA-2015-119697","2015-12-28","2015-12-31","Second Class","EM-13960","TEC-AC-10003657","54.384",2,"0.2","1.3596"
4037,"CA-2015-148859","2015-12-28","2016-01-01","Standard Class","FH-14350","OFF-ST-10004950","24.816",2,"0.2","1.551"
4037,"CA-2015-148859","2015-12-28","2016-01-01","Standard Class","FH-14350","OFF-ST-10004950","24.816",2,"0.2","1.551"
162,"CA-2015-119697","2015-12-28","2015-12-31","Second Class","EM-13960","TEC-AC-10003657","54.384",2,"0.2","1.3596"
7651,"CA-2015-101889","2015-12-27","2015-12-31","Standard Class","DB-13120","OFF-EN-10003286","19.872",3,"0.2","6.7068"
7650,"CA-2015-101889","2015-12-27","2015-12-31","Standard Class","DB-13120","FUR-TA-10004154","1548.99",9,"0.4","-464.697"
496,"CA-2015-134782","2015-12-27","2015-12-31","Standard Class","MD-17350","OFF-EN-10001434","105.42",2,"0","51.6558"
7651,"CA-2015-101889","2015-12-27","2015-12-31","Standard Class","DB-13120","OFF-EN-10003286","19.872",3,"0.2","6.7068"
4810,"CA-2015-151589","2015-12-27","2015-12-30","First Class","RE-19450","OFF-PA-10003228","195.64",4,"0","91.9508"
4811,"CA-2015-151589","2015-12-27","2015-12-30","First Class","RE-19450","TEC-PH-10004345","239.9",2,"0","71.97"
8731,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","TEC-AC-10004227","72.744",7,"0.2","-12.7302"
38,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","OFF-EN-10002986","113.328",9,"0.2","35.415"
38,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","OFF-EN-10002986","113.328",9,"0.2","35.415"
39,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","FUR-BO-10002545","532.3992",3,"0.32","-46.9764"
40,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","FUR-CH-10004218","212.058",3,"0.3","-15.147"
41,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","TEC-PH-10000486","371.168",4,"0.2","41.7564"
3272,"CA-2015-155145","2015-12-27","2015-12-29","Second Class","KN-16450","TEC-AC-10003709","7.92",8,"0","3.4848"
1095,"CA-2015-165085","2015-12-27","2015-12-31","Standard Class","BT-11485","OFF-AP-10002518","355.96",2,"0","103.2284"
7650,"CA-2015-101889","2015-12-27","2015-12-31","Standard Class","DB-13120","FUR-TA-10004154","1548.99",9,"0.4","-464.697"
40,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","FUR-CH-10004218","212.058",3,"0.3","-15.147"
3191,"US-2015-163783","2015-12-27","2016-01-01","Standard Class","DR-12940","OFF-ST-10002957","12.672",3,"0.2","-3.168"
9681,"CA-2015-130113","2015-12-27","2015-12-31","Standard Class","AH-10030","TEC-PH-10003505","668.16",9,"0.2","75.168"
8727,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","TEC-AC-10002370","4.728",3,"0.2","0.7092"
8728,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","FUR-FU-10002030","53.352",3,"0.2","16.0056"
9681,"CA-2015-130113","2015-12-27","2015-12-31","Standard Class","AH-10030","TEC-PH-10003505","668.16",9,"0.2","75.168"
9680,"CA-2015-130113","2015-12-27","2015-12-31","Standard Class","AH-10030","OFF-ST-10000046","323.1",2,"0","61.389"
8729,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","FUR-BO-10002853","131.104",2,"0.2","8.194"
8730,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","OFF-ST-10002562","22.512",3,"0.2","2.2512"
8731,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","TEC-AC-10004227","72.744",7,"0.2","-12.7302"
9680,"CA-2015-130113","2015-12-27","2015-12-31","Standard Class","AH-10030","OFF-ST-10000046","323.1",2,"0","61.389"
1698,"CA-2015-148376","2015-12-27","2015-12-31","Standard Class","AG-10900","OFF-AP-10000240","106.96",2,"0","31.0184"
1699,"CA-2015-148376","2015-12-27","2015-12-31","Standard Class","AG-10900","OFF-LA-10002381","21.56",7,"0","10.3488"
8728,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","FUR-FU-10002030","53.352",3,"0.2","16.0056"
8730,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","OFF-ST-10002562","22.512",3,"0.2","2.2512"
1095,"CA-2015-165085","2015-12-27","2015-12-31","Standard Class","BT-11485","OFF-AP-10002518","355.96",2,"0","103.2284"
8729,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","FUR-BO-10002853","131.104",2,"0.2","8.194"
1094,"CA-2015-165085","2015-12-27","2015-12-31","Standard Class","BT-11485","OFF-PA-10000605","28.9",5,"0","14.161"
1698,"CA-2015-148376","2015-12-27","2015-12-31","Standard Class","AG-10900","OFF-AP-10000240","106.96",2,"0","31.0184"
1699,"CA-2015-148376","2015-12-27","2015-12-31","Standard Class","AG-10900","OFF-LA-10002381","21.56",7,"0","10.3488"
496,"CA-2015-134782","2015-12-27","2015-12-31","Standard Class","MD-17350","OFF-EN-10001434","105.42",2,"0","51.6558"
4811,"CA-2015-151589","2015-12-27","2015-12-30","First Class","RE-19450","TEC-PH-10004345","239.9",2,"0","71.97"
4810,"CA-2015-151589","2015-12-27","2015-12-30","First Class","RE-19450","OFF-PA-10003228","195.64",4,"0","91.9508"
8727,"CA-2015-103870","2015-12-27","2015-12-31","Standard Class","SP-20860","TEC-AC-10002370","4.728",3,"0.2","0.7092"
39,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","FUR-BO-10002545","532.3992",3,"0.32","-46.9764"
41,"CA-2015-117415","2015-12-27","2015-12-31","Standard Class","SN-20710","TEC-PH-10000486","371.168",4,"0.2","41.7564"
3191,"US-2015-163783","2015-12-27","2016-01-01","Standard Class","DR-12940","OFF-ST-10002957","12.672",3,"0.2","-3.168"
3272,"CA-2015-155145","2015-12-27","2015-12-29","Second Class","KN-16450","TEC-AC-10003709","7.92",8,"0","3.4848"
1094,"CA-2015-165085","2015-12-27","2015-12-31","Standard Class","BT-11485","OFF-PA-10000605","28.9",5,"0","14.161"
7100,"CA-2015-124933","2015-12-26","2015-12-30","Second Class","DF-13135","OFF-PA-10003302","212.64",6,"0","99.9408"
5690,"CA-2015-119550","2015-12-26","2015-12-31","Standard Class","RB-19705","FUR-CH-10002044","275.058",3,"0.3","-90.3762"
526,"CA-2015-158792","2015-12-26","2016-01-02","Standard Class","BD-11605","OFF-FA-10002815","22.2",5,"0","10.434"
5690,"CA-2015-119550","2015-12-26","2015-12-31","Standard Class","RB-19705","FUR-CH-10002044","275.058",3,"0.3","-90.3762"
